How can I configure you?,About_You
How do you function?,About_You
How old are you?,About_You
Introduce your self,About_You
Let us talk about you,About_You
Tell me about your life,About_You
Tell me something about yourself,About_You
What should I know about you?,About_You
What's your name?,About_You
Where are you from?,About_You
Where were you born?,About_You
Who are you?,About_You
Why are you here?,About_You
About you,About_You
Describe your self,About_You
Do you have a name?,About_You
Do you know who you are?,About_You
What are you able to deal with?,Agent_Capabilities
What else can you help me with?,Agent_Capabilities
What kinds of things can you do?,Agent_Capabilities
Show me all your capablities,Agent_Capabilities
Can you tell me what services you are able to help me with?,Agent_Capabilities
I'd like to know what type of questions you can answer for me.,Agent_Capabilities
Is there anything you can help me with?,Agent_Capabilities
Tell me about what kind of things you do?,Agent_Capabilities
What are my options that you can help with?,Agent_Capabilities
What do you handle?,Agent_Capabilities
What are you capable of?,Agent_Capabilities
What are you good at?,Agent_Capabilities
What are you used for?,Agent_Capabilities
What are your skills?,Agent_Capabilities
What do you do?,Agent_Capabilities
show me the list of capabilities,Agent_Inquiries
Do you have a list of things I can talk to you about?,Agent_Inquiries
Can you please give me a list of the types of things you can help me with?,Agent_Inquiries
Give me all the questions I ask you,Agent_Inquiries
Give me a complete list of quieries I can ask you of,Agent_Inquiries
Help me with this other question,Change_Subject
Discuss something else,Change_Subject
Chat about something else,Change_Subject
Change topic,Change_Subject
Can we talk about something else?,Change_Subject
Another thing,Change_Subject
A different matter,Change_Subject
Here is another issue,Change_Subject
I have one more question,Change_Subject
Let us change the topic,Change_Subject
Let us talk about something else,Change_Subject
Talk about something else,Change_Subject
Lets have a tea party,Chit-Chat
I want to have a chit chat with you,Chit-Chat
Can you be my friend,Chit-Chat
I want to have a general conversation with yyo,Chit-Chat
I want to make you my friend,Chit-Chat
Lets be friends,Chit-Chat
Bye bye,Communication_Ending
Time to go,Communication_Ending
That's everything,Communication_Ending
That is all,Communication_Ending
"Thanks very much, bye!",Communication_Ending
"Thanks, bye!",Communication_Ending
Thank you for your time,Communication_Ending
Stop talking to me,Communication_Ending
Stop doing this,Communication_Ending
Shut up,Communication_Ending
See you,Communication_Ending
See you later,Communication_Ending
Ok goodbye,Communication_Ending
It was nice chatting with you,Communication_Ending
I'm leaving now,Communication_Ending
Im good thank you,Communication_Ending
Im done,Communication_Ending
I'm done,Communication_Ending
I want to quit,Communication_Ending
I have got to go,Communication_Ending
I d like to stop doing this,Communication_Ending
I am out of here,Communication_Ending
I am leaving,Communication_Ending
Hey bot go away,Communication_Ending
Have a nice day?,Communication_Ending
Goodbye,Communication_Ending
Good. bye.,Communication_Ending
Going now,Communication_Ending
Go off,Communication_Ending
Go away,Communication_Ending
Get lost,Communication_Ending
"Finished now, good bye",Communication_Ending
Ending this session,Communication_Ending
End trial,Communication_Ending
Cya later,Communication_Ending
Catch you later,Communication_Ending
Bye now,Communication_Ending
how many languages you speak,Communication_Languages
How can we communicate,Communication_Languages
What langugae do you use?,Communication_Languages
i prefer talking in arabic,Communication_Languages
can we speak in chinese,Communication_Languages
can i talk in any language,Communication_Languages
can i talk in english?,Communication_Languages
How safe is my data?,Communication_Security_Assurance
What guards do you have in place to protect your customer's data?,Communication_Security_Assurance
What makes this chat trustworthy?,Communication_Security_Assurance
What safety measures are used to ensure that chat is secure?,Communication_Security_Assurance
Why would I trust this chat?,Communication_Security_Assurance
Will my conversation remain secured?,Communication_Security_Assurance
How is my credit card info secured?,Communication_Security_Assurance
How do I know this chat is not a scam?,Communication_Security_Assurance
How do I know if my card info is kept safe?,Communication_Security_Assurance
Do you have protection against hacks?,Communication_Security_Assurance
Customer info secured?,Communication_Security_Assurance
Conversation secure?,Communication_Security_Assurance
Can I be sure that my stored card details are held securely?,Communication_Security_Assurance
Are you safe?,Communication_Security_Assurance
Are you safe on hackers?,Communication_Security_Assurance
I'd like proof of a secure chat,Communication_Security_Assurance
Secure conversation?,Communication_Security_Assurance
Protection hacks?,Communication_Security_Assurance
Precautions hackers?,Communication_Security_Assurance
Is this conversation secure?,Communication_Security_Assurance
Is this an official chat?,Communication_Security_Assurance
Is this a trusted chat site?,Communication_Security_Assurance
Is there a reason to distrust this chat?,Communication_Security_Assurance
Is my payment information secure?,Communication_Security_Assurance
Is my card info secure?,Communication_Security_Assurance
In what way can I tell if my plastic is safe?,Communication_Security_Assurance
Good day,Communication_Start
You there,Communication_Start
Who is this?,Communication_Start
What's up?,Communication_Start
What's new?,Communication_Start
Ok take me back,Communication_Start
Looking good eve,Communication_Start
How r u?,Communication_Start
How is it going?,Communication_Start
How have you been?,Communication_Start
How are you today?,Communication_Start
How are things going?,Communication_Start
Hi there,Communication_Start
Hi advisor,Communication_Start
Hey you,Communication_Start
Hey twin,Communication_Start
Hey there,Communication_Start
Hey there all,Communication_Start
Hey how are you doing,Communication_Start
Hello,Communication_Start
Hello I am looking for some help here,Communication_Start
Hello Agent,Communication_Start
Have you been well?,Communication_Start
Greetings,Communication_Start
Good to see you,Communication_Start
Good morning,Communication_Start
Good evening,Communication_Start
Oi,Communication_Start
Did you hear what I said?,Confirm_Presence
Are you there?,Confirm_Presence
Are you still here with me?,Confirm_Presence
Are you still around?,Confirm_Presence
Are you on?,Confirm_Presence
Are you leaving me?,Confirm_Presence
Anyone there?,Confirm_Presence
Have I lost you?,Confirm_Presence
I am still holding,Confirm_Presence
Is anybody here?,Confirm_Presence
Is anybody home?,Confirm_Presence
Speak to me if you are there.,Confirm_Presence
You around?,Confirm_Presence
"A real agent, please.",Connect_to_Agent
"Yes, take me to a real person",Connect_to_Agent
Where is the closest agent?,Connect_to_Agent
Send me to an agent,Connect_to_Agent
Put me through to someone,Connect_to_Agent
Please let me talk to a human being.,Connect_to_Agent
Please connect me to a live agent,Connect_to_Agent
Please assist me to get to an agent,Connect_to_Agent
Operator please,Connect_to_Agent
Need help from human,Connect_to_Agent
Is there anyone there I can actually talk to for real?,Connect_to_Agent
I would like to speak to someone,Connect_to_Agent
I would like to speak to a human,Connect_to_Agent
I want to talk to a person,Connect_to_Agent
I want an agent to help me,Connect_to_Agent
I want agent,Connect_to_Agent
I want a manager,Connect_to_Agent
I need to speak to a representative. How would I go about doing so?,Connect_to_Agent
I don't want to talk to you,Connect_to_Agent
I don't want to talk to a bot.,Connect_to_Agent
How can I skip the recorded menu and go straight to a live person?,Connect_to_Agent
Hi can you transfer me,Connect_to_Agent
Do not want a robot?,Connect_to_Agent
Customer service representative please.,Connect_to_Agent
Could you please transfer me to your master?,Connect_to_Agent
Contact person,Connect_to_Agent
Connect me to a live operator please.,Connect_to_Agent
Can you connect me with a real person?,Connect_to_Agent
Can you assist me to connect to an agent?,Connect_to_Agent
Can I talk to someone?,Connect_to_Agent
Can I speak with somebody?,Connect_to_Agent
Can I speak to an advisor?,Connect_to_Agent
Can I speak to a live person?,Connect_to_Agent
Can I speak to a human please?,Connect_to_Agent
Can I connect to an agent?,Connect_to_Agent
Call agent,Connect_to_Agent
Agent help,Connect_to_Agent
How can I contact your business?,Contact_Us
How do I best contact you when there has been a problem with my bill?,Contact_Us
I want to know number to the store closest to me,Contact_Us
I would like to speak to customer service.,Contact_Us
Is there a phone number to your shop at fort worth tx?,Contact_Us
